PARAM,AVG_TIME,RUN,FAILED
10,3.761,1,0
10,1.359,2,0
10,1.405,3,0
50,15.121,1,0
50,15.883,2,0
50,14.266,3,0
100,32.703,1,0
100,30.780,2,0
100,31.561,3,0
