PARAM,AVG_TIME,RUN,FAILED
10,0.588,1,0
10,0.355,2,0
10,0.337,3,0
100,0.808,1,0
100,0.393,2,0
100,0.509,3,0
1000,0.430,1,0
1000,0.588,2,0
1000,0.404,3,0
