PARAM,AVG_TIME,RUN,FAILED
1,0.144,1,0
1,0.205,2,0
1,0.197,3,0
10,0.851,1,0
10,0.888,2,0
10,0.616,3,0
20,0.423,1,0
20,0.981,2,0
20,0.758,3,0
50,1.639,1,0
50,0.792,2,0
50,0.979,3,0
100,1.195,1,0
100,1.398,2,0
100,1.116,3,0
1000,4.958,1,0
1000,4.685,2,0
1000,4.728,3,0
