PARAM,AVG_TIME,RUN,FAILED
10,1.618,1,0
10,1.438,2,0
10,1.497,3,0
100,1.473,1,0
100,1.429,2,0
100,1.359,3,0
1000,1.439,1,0
1000,1.921,2,0
1000,0.935,3,0
